,Unnamed: 0,Unnamed: 0.1,ImageId,6,7,8,10,12,14,16,18,20,25,30,35,40,45,50,60,70,80,100,pan,prop_count,fraction
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0525,0.5359,0.2181,0.1875,0.0053,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,,20/40
1,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004757185332011893,0.006541129831516352,0.0836471754212091,0.4251734390485629,0.2549058473736373,0.0,0.1926660059464817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20/40_pdcpd_bash_lab
2,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004377238360525269,0.0069637883008356535,0.06386788698766416,0.39216076402705935,0.25785913251094306,0.0,0.2210505372065261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4030.0,20/40_pdcpd_bash_lab
3,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0113,0.2324,0.7423000000000001,0.0063,0.0072,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16/20
4,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051792828685258965,0.0077689243027888434,0.0896414342629482,0.449003984063745,0.2565737051792829,0.0,0.17270916334661351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20/40_pdcpd_bash_lab
5,5.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,1800.0,
6,6.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006147134642078128,0.008328375966686495,0.08189569700575054,0.4360499702558001,0.2510410469958357,0.0,0.1879833432480666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20/40_pdcpd_bash_lab
7,7.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0205,0.3859,0.561,0.0263,0.0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16/20
8,8.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025911899541558705,0.007374925254135936,0.05421566673310743,0.3236994219653179,0.2547339047239386,0.0,0.25672712776559703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20/40_pdcpd_bash_lab
9,9.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005529225908372828,0.00730647709320695,0.07326224328593997,0.41883886255924174,0.2492101105845181,0.0,0.20161927330173768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20/40_pdcpd_bash_lab
10,10.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002791625124626121,0.004985044865403789,0.06819541375872383,0.4125623130608176,0.2630109670987039,0.0,0.20957128614157533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20/40_pdcpd_bash_lab
11,11.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.2701,0.6369,0.061,0.005699999999999999,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16/20
12,12.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008199999999999999,0.2332,0.7199,0.0291,0.0094,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16/20
13,13.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0212,0.5490999999999999,0.4098,0.0148,0.005,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16/20
14,14.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051,0.4462,0.5275,0.0178,0.003,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16/20
15,15.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0312,0.4067,0.4426,0.1117,0.0066,0.0,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16/20
16,16.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0412,0.4536,0.3801,0.0981,0.0261,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16/20
17,17.0,17.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051,0.4462,0.5275,0.0178,0.003,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16/20
18,18.0,18.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057930483419896105,0.008190171793847381,0.07810627247303235,0.4468637634838194,0.2540950858969237,0.0,0.1797842588893328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20/40_pdcpd_bash_lab
19,19.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156,0.4669,0.5018,0.0114,0.0044,0.0,0.0007000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16/20
20,20.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118,0.5499,0.4104,0.0259,0.0016,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16/20
21,21.0,21.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0369,0.4129,0.4872,0.0546,0.0078,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16/20
22,22.0,22.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047400000000000005,0.5946,0.3027,0.0483,0.005600000000000001,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,,20/40
23,23.0,23.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074,0.2877,0.6973,0.005,0.0021,0.0,0.0007000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16/20
